State,State,District,Women,Men
KA,Karnataka,Mysore,863,113
KA,Karnataka,Raichur,965,151
KA,Karnataka,Ramanagara,766,126
KA,Karnataka,Shimoga,863,99
KA,Karnataka,Tumkur,810,116
KA,Karnataka,Udupi,860,99
KA,Karnataka,Uttara Kannada,858,99
KA,Karnataka,Yadgir,943,134
KL,Kerala,Alappuzha,718,121
KL,Kerala,Ernakulam,740,105
KL,Kerala,Idukki,710,127
KL,Kerala,Kannur,753,110
KL,Kerala,Kasaragod,823,134
KL,Kerala,Kollam,793,137
KL,Kerala,Kottayam,704,129
KL,Kerala,Kozhikode,901,126
KL,Kerala,Malappuram,992,171
KL,Kerala,Palakkad,816,191
KL,Kerala,Pathanamthitta,642,89
KL,Kerala,Thiruvananthapuram,783,138
KL,Kerala,Thrissur,749,111
KL,Kerala,Wayanad,909,175
MH,Maharashtra,Ahmadnagar,798,110
MH,Maharashtra,Akola,1029,143
MH,Maharashtra,Amravati,889,125
MH,Maharashtra,Aurangabad,860,151
MH,Maharashtra,Bhandara,823,132
MH,Maharashtra,Bid,823,127
MH,Maharashtra,Buldana,837,131
MH,Maharashtra,Chandrapur,819,126
MH,Maharashtra,Dhule,875,157
MH,Maharashtra,Gadchiroli,840,138
MH,Maharashtra,Gondiya,822,127
MH,Maharashtra,Hingoli,872,135
MH,Maharashtra,Jalgaon,799,110
MH,Maharashtra,Jalna,859,135
MH,Maharashtra,Kolhapur,827,132
MH,Maharashtra,Latur,967,151
MH,Maharashtra,Mumbai Suburban,673,100
MH,Maharashtra,Mumbai,608,62
MH,Maharashtra,Nagpur,1116,150
MH,Maharashtra,Nanded,978,187
MH,Maharashtra,Nandurbar,900,105
MH,Maharashtra,Nashik,951,163
MH,Maharashtra,Osmanabad,769,121
MH,Maharashtra,Parbhani,916,140
MH,Maharashtra,Pune,742,131
MH,Maharashtra,Raigarh,759,117
MH,Maharashtra,Ratnagiri,727,73
MH,Maharashtra,Sangli,863,122
MH,Maharashtra,Satara,740,111
MH,Maharashtra,Sindhudurg,660,64
MH,Maharashtra,Solapur,931,137
MH,Maharashtra,Thane,763,136
MH,Maharashtra,Wardha,856,124
MH,Maharashtra,Washim,876,136
MH,Maharashtra,Yavatmal,893,146
ML,Meghalaya,East Garo Hills,1235,136
ML,Meghalaya,East Khasi Hills,2173,265
ML,Meghalaya,Jaintia Hills,1133,141
ML,Meghalaya,Ribhoi,1119,147
ML,Meghalaya,South Garo Hills,1295,164
ML,Meghalaya,West Garo Hills,1195,156
ML,Meghalaya,West Khasi Hills,1051,135
MN,Manipur,Bishnupur,2257,271
MN,Manipur,Chandel,972,124
MN,Manipur,Churachandpur,852,114
MN,Manipur,Imphal East,2232,283
MN,Manipur,Imphal West,2129,269
MN,Manipur,Senapati,1052,143
MN,Manipur,Tamenglong,964,129
MN,Manipur,Thoubal,2302,294
MN,Manipur,Ukhrul,833,120
MP,Madhya Pradesh,Alirajpur,1430,203
MP,Madhya Pradesh,Anuppur,1102,137
MP,Madhya Pradesh,Ashoknagar,1083,200
MP,Madhya Pradesh,Balaghat,1074,135
MP,Madhya Pradesh,Barwani,1332,172
MP,Madhya Pradesh,Betul,1067,148
MP,Madhya Pradesh,Bhind,1049,163
MP,Madhya Pradesh,Bhopal,1104,172
MP,Madhya Pradesh,Burhanpur,2307,335
MP,Madhya Pradesh,Chhatarpur,1000,141
MP,Madhya Pradesh,Chhindwara,1157,175
MP,Madhya Pradesh,Damoh,1015,157
MP,Madhya Pradesh,Datia,1121,170
MP,Madhya Pradesh,Dewas,1136,172
MP,Madhya Pradesh,Dhar,1237,186
MP,Madhya Pradesh,Dindori,1039,140
MP,Madhya Pradesh,Guna,1256,214
MP,Madhya Pradesh,Gwalior,2325,359
MP,Madhya Pradesh,Harda,1202,201
MP,Madhya Pradesh,Hoshangabad,2435,363
MP,Madhya Pradesh,Indore,2412,388
MP,Madhya Pradesh,Jabalpur,2106,309
MP,Madhya Pradesh,Jhabua,1001,190
MP,Madhya Pradesh,Katni,1072,156
MP,Madhya Pradesh,Khandwa (East Nimar),1250,174
MP,Madhya Pradesh,Khargone (West Nimar),1333,206
MP,Madhya Pradesh,Mandla,982,156
MP,Madhya Pradesh,Mandsaur,1210,210
MP,Madhya Pradesh,Morena,1125,182
MP,Madhya Pradesh,Narsimhapur,1091,176
MP,Madhya Pradesh,Neemuch,1186,191
MP,Madhya Pradesh,Panna,954,141
MP,Madhya Pradesh,Raisen,1171,180
MP,Madhya Pradesh,Rajgarh,1025,155
MP,Madhya Pradesh,Ratlam,1088,166
MP,Madhya Pradesh,Rewa,1092,152
MP,Madhya Pradesh,Sagar,960,124
MP,Madhya Pradesh,Satna,1010,142
MP,Madhya Pradesh,Sehore,1104,176
MP,Madhya Pradesh,Seoni,1109,159
MP,Madhya Pradesh,Shahdol,975,152
MP,Madhya Pradesh,Shajapur,1098,170
MP,Madhya Pradesh,Sheopur,1098,160
MP,Madhya Pradesh,Shivpuri,1132,206
MP,Madhya Pradesh,Sidhi,1068,138
MP,Madhya Pradesh,Singrauli,1221,164
MP,Madhya Pradesh,Tikamgarh,1060,148
MP,Madhya Pradesh,Ujjain,2489,383
MP,Madhya Pradesh,Umaria,973,158
MP,Madhya Pradesh,Vidisha,937,141
MZ,Mizoram,Aizawl,1056,132
MZ,Mizoram,Champhai,1999,280
MZ,Mizoram,Kolasib,1660,231
MZ,Mizoram,Lawngtlai,982,117
MZ,Mizoram,Lunglei,1825,229
MZ,Mizoram,Mamit,890,133
MZ,Mizoram,Saiha,2097,246
MZ,Mizoram,Serchhip,1770,249
NL,Nagaland,Dimapur,1993,222
NL,Nagaland,Kiphire,806,132
NL,Nagaland,Kohima,1787,215
NL,Nagaland,Longleng,786,132
NL,Nagaland,Mokokchung,644,89
NL,Nagaland,Mon,967,122
NL,Nagaland,Peren,809,119
NL,Nagaland,Phek,869,123
NL,Nagaland,Tuensang,677,87
NL,Nagaland,Wokha,637,75
NL,Nagaland,Zunheboto,815,124
OR,Orissa,Anugul,1135,144
OR,Orissa,Balangir,1047,129
OR,Orissa,Baleshwar,1012,122
OR,Orissa,Bargarh,1007,148
OR,Orissa,Baudh,1050,135
